"osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index","wijk_age_entropy_index","buurt_age_entropy_index","abs_wijk_diff","abs_buurt_diff","geometry"
469672210,"010100002040710000054CEEBC980E03418035C579496B1741",0,0E-20,0,0E-20,100,1.00000000000000000000,100,-0,0.7631541762083173,0.7017798816593847,0.7631541762083173,0.7017798816593847,"POINT(5.403239745901075 51.4423796987537)"
953956983,"01010000204071000089B7CF50BF5D0341FFBBA6730E741741",0,0E-20,120,1.00000000000000000000,0,0E-20,120,-0,0.7305949172757913,0.7445248481922206,0.7305949172757913,0.7445248481922206,"POINT(5.439676193447758 51.44741378866379)"
4403329645,"010100002040710000B8FC0AEA4EFB03418C1782AD31771741",0,0E-20,100,0.44444444444444444444,125,0.55555555555555555556,225,0.6252993742043005,0.7905658076970342,0.7751179845675308,0.16526643349273373,0.1498186103632303,"POINT(5.512209501814292 51.44916350355293)"
4856110606,"01010000204071000062610BC4A4E80341D687BD6A0C721741",0,0E-20,1000,1.00000000000000000000,0,0E-20,1000,-0,0.7905658076970342,0.7751179845675308,0.7905658076970342,0.7751179845675308,"POINT(5.503609901805483 51.4462123035511)"
6157260694,"010100002040710000E8399879465F0341B9B4D0985E421741",0,0E-20,180,0.80000000000000000000,45,0.20000000000000000000,225,0.4554859150035952,0.8215993992430899,0.8083573280028286,0.3661134842394947,0.35287141299923336,"POINT(5.440346101740432 51.41882980353363)"
6499191191,"0101000020407100000C48B6EC5B6A0341A074FF6EA4821741",0,0E-20,0,0E-20,40,1.00000000000000000000,40,-0,0.7305949172757913,0,0.7305949172757913,0,"POINT(5.445492401747055 51.45580190355839)"
791355186,"01010000204071000096755BEF6E7F03419426BB09E3781741",0,0E-20,80,1.00000000000000000000,0,0E-20,80,-0,0.7305949172757913,0.5756557840822812,0.7305949172757913,0.5756557840822812,"POINT(5.455186690469794 51.45018457751157)"
5595001233,"01010000204071000048AF9D1A1DBD0341669B507EC3761741",0,0E-20,1875,1.00000000000000000000,0,0E-20,1875,-0,0.3960545012244183,0.060550582712338846,0.3960545012244183,0.060550582712338846,"POINT(5.483578501785322 51.44894310355323)"
4243042,"0101000020407100008D1BE2522AB303412E985771BD5A1741",250,0.09615384615384615385,1875,0.72115384615384615385,475,0.18269230769230769231,2600,0.7022395284923183,0.3960545012244183,0.4654294430186338,0.3061850272679,0.23681008547368448,"POINT(5.478966391365892 51.432825516278534)"
4609374,"0101000020407100004134BEC480D30341EB295A3BC3431741",2130,0.14314516129032258065,11280,0.75806451612903225806,1470,0.09879032258064516129,14880,0.6525583484614917,0.7564757476865094,0.6391403974485219,0.10391739922501764,0.013417951012969831,"POINT(5.493816319142288 51.419594524858084)"
6313723,"010100002040710000C93A7EA6C69F0341878D91D76E471741",70,0.18181818181818181818,245,0.63636363636363636364,70,0.18181818181818181818,385,0.8260742242427029,0.7293933496540047,-0,0.09668087458869823,0.8260742242427029,"POINT(5.470023725868757 51.42172534836766)"
6313743,"010100002040710000193AC7BFC0AB0341AA34202A39501741",120,0.20000000000000000000,440,0.73333333333333333333,40,0.06666666666666666667,600,0.6643574057122258,0.6730515185370932,0.8793956034146249,0.008694112824867428,0.21503819770239907,"POINT(5.475543661087537 51.42677815247405)"
6313760,"010100002040710000731BD96F5CB30341FAD563C66D561741",475,0.20000000000000000000,1450,0.61052631578947368421,450,0.18947368421052631579,2375,0.8541069566008254,0.3960545012244183,0.4654294430186338,0.45805245537640704,0.38867751358219155,"POINT(5.479051464895708 51.430345318503214)"
6313936,"0101000020407100002EFD5FE862A40341DDA680E857AD1741",150,0.16216216216216216216,550,0.59459459459459459459,225,0.24324324324324324324,925,0.8628932755109255,0.7960787760810015,0.8696177921368625,0.06681449942992401,0.006724516625936983,"POINT(5.472254386765713 51.48035026619745)"
7502256,"01010000204071000031045FC0E8BF034180F0A79E61B51741",325,0.18055555555555555556,1250,0.69444444444444444444,225,0.12500000000000000000,1800,0.748411934276707,0.7960787760810015,0.6826498074174745,0.04766684180429448,0.06576212685923255,"POINT(5.484942797064891 51.484964329277)"
8338088,"01010000204071000037C1D270E98803410B63B2EE20741741",120,0.02234636871508379888,5190,0.96648044692737430168,60,0.01117318435754189944,5370,0.15301752765821466,0.5741710679475016,0.15890105874193716,0.421153540289287,0.0058835310837224986,"POINT(5.459545757405631 51.44744466147593)"
11951835,"010100002040710000995335C39F8A0341613E3F245B5B1741",0,0E-20,15,1.00000000000000000000,0,0E-20,15,-0,0.7163942090515982,0.7905588151745216,0.7163942090515982,0.7905588151745216,"POINT(5.460310994125989 51.433193102910586)"
12572778,"0101000020407100009255F15130B20341C82FF327F5651741",75,0.01363636363636363636,5175,0.94090909090909090909,250,0.04545454545454545455,5500,0.23336705925793477,0.3960545012244183,0.3826247880795669,0.16268744196648355,0.14925772882163213,"POINT(5.47852995305623 51.43927908968072)"
31553333,"01010000204071000016F15A9D74D70341C170975C8D591741",1040,0.15028901734104046243,4960,0.71676300578034682081,920,0.13294797687861271676,6920,0.7207077140591185,0.6730515185370932,0.5811082017701906,0.04765619552202527,0.13959951228892786,"POINT(5.495664499300975 51.43212783908933)"
34043800,"010100002040710000F0349E41DEB00341B49282AF3C661741",50,0.00995024875621890547,4650,0.92537313432835820896,325,0.06467661691542288557,5025,0.2682930990014615,0.3960545012244183,0.3826247880795669,0.12776140222295684,0.11433168907810543,"POINT(5.47792250177924 51.43944030354693)"
