"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index"
"POINT(161450.70277931416 383192.26547360845)",3446864542,"010100002040710000D5C24A9F55B503414950D80F61631741",280,0.04232804232804232804,5795,0.87603930461073318216,540,0.08163265306122448980,6615,0.41354512498087087
"POINT(161316.93900667553 383213.6572113968)",2765367537,"01010000204071000091EE158327B103413F06FCA0B6631741",225,0.03762541806020066890,5165,0.86371237458193979933,590,0.09866220735785953177,5980,0.4355206720932551
"POINT(161336.57223563627 383065.6509313904)",2765280413,"010100002040710000FB46F093C4B1034127C28D9A66611741",505,0.05824682814302191465,7275,0.83910034602076124567,890,0.10265282583621683968,8670,0.49742559888574434
"POINT(163262.90424542082 386198.8196879734)",5062721885,"010100002040710000F005E53BF7ED0341BB485C475B921741",30,0.05607476635514018692,325,0.60747663551401869159,180,0.33644859813084112150,535,0.756266512001215
"POINT(158747.99755614751 381344.1614526826)",97839550,"010100002040710000ACB7FEFADF6003411EDA53A580461741",435,0.13425925925925925926,2160,0.66666666666666666667,645,0.19907407407407407407,3240,0.7839175620950716
"POINT(161443.03109725393 383554.5229932651)",2765160892,"010100002040710000C5EAAF3F18B50341E78B8B170A691741",130,0.03812316715542521994,2980,0.87390029325513196481,300,0.08797653958944281525,3410,0.415234058667386
"POINT(159143.97259372793 381792.08022473694)",6284084384,"0101000020407100006E38DFC73F6D0341F66E2652804D1741",180,0.15517241379310344828,720,0.62068965517241379310,260,0.22413793103448275862,1160,0.8377284710219262
"POINT(158772.83085753873 382097.2739264731)",2713085109,"01010000204071000024A398A5A66103416E2E801845521741",50,0.14285714285714285714,225,0.64285714285714285714,75,0.21428571428571428571,350,0.8120406807941001
"POINT(163201.45017738684 388531.48641220323)",5062916292,"0101000020407100000F9AF6990BEC0341650A16F2CDB61741",275,0.15804597701149425287,1090,0.62643678160919540230,375,0.21551724137931034483,1740,0.8331608112375989
"POINT(163854.60257933263 383787.3623928301)",269421682,"010100002040710000F71C15D274000441261B1773AD6C1741",255,0.14127423822714681440,1145,0.63434903047091412742,405,0.22437673130193905817,1805,0.8196921466429675
