"osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index","wijk_age_entropy_index","buurt_age_entropy_index","abs_wijk_diff","abs_buurt_diff"
2774730668,"010100002040710000C1D5A3638AEF03415EB320A1E07C1741",125,0.08333333333333333,700,0.4666666666666667,675,0.45,1500,0.8393037148589907,0.7905658076970342,0.8198069817114993,0.04873790716195647,0.01949673314749134
4441064843,"0101000020407100007ACEC66AA3AB02411BD3BE68277E1741",0,0.0,50,1.0,0,0.0,50,-0.0,0.7631541762083173,-0.0,0.7631541762083173,0
4856110606,"01010000204071000062610BC4A4E80341D687BD6A0C721741",0,0.0,1075,1.0,0,0.0,1075,-0.0,0.7905658076970342,0.7751179845675308,0.7905658076970342,0.7751179845675308
5594989921,"01010000204071000082E1B3E000BB03416B1A93CCA5711741",0,0.0,1875,1.0,0,0.0,1875,-0.0,0.3960545012244183,0.060550582712338846,0.3960545012244183,0.060550582712338846
7590800057,"0101000020407100001D28BE89B8410341C432B4B1D9901741",0,0,0,0,0,0,0,0,0.7305949172757913,0,0.7305949172757913,0
1726164691,"0101000020407100003A67A93FB54103410C6DC8547C901741",0,0,0,0,0,0,0,0,0.7305949172757913,0,0.7305949172757913,0
3446864567,"010100002040710000BAB3B0613DB80341B6D60B885A691741",400,0.0256,13800,0.8832,1425,0.0912,15625,0.3840494710469089,0.3960545012244183,0.3826247880795669,0.012005030177509424,0.0014246829673419947
4441064840,"0101000020407100005A1D66C102AD0241620A1CDB957C1741",0,0.0,50,1.0,0,0.0,50,-0.0,0.7631541762083173,-0.0,0.7631541762083173,0
4243042,"0101000020407100008D1BE2522AB303412E985771BD5A1741",2000,0.0984009840098401,15750,0.7749077490774908,2575,0.12669126691266913,20325,0.6258053547099331,0.3960545012244183,0.4654294430186338,0.22975085348551483,0.16037591169129933
4609374,"0101000020407100004134BEC480D30341EB295A3BC3431741",7800,0.16624040920716113,34170,0.7282608695652174,4950,0.10549872122762148,46920,0.697688988360934,0.7564757476865094,0.6391403974485219,0.05878675932557542,0.058548590912412046
6313723,"010100002040710000C93A7EA6C69F0341878D91D76E471741",595,0.10897435897435898,3745,0.6858974358974359,1120,0.20512820512820512,5460,0.75104466481893,0.7293933496540047,-0.0,0.021651315164925244,0.75104466481893
6313743,"010100002040710000193AC7BFC0AB0341AA34202A39501741",2360,0.16809116809116809,8960,0.6381766381766382,2720,0.19373219373219372,14040,0.823172680975802,0.6730515185370932,0.8793956034146249,0.15012116243870877,0.056222922438822875
6313760,"010100002040710000731BD96F5CB30341FAD563C66D561741",2325,0.12704918032786885,13075,0.7144808743169399,2900,0.15846994535519127,18300,0.7229712034586645,0.3960545012244183,0.4654294430186338,0.3269167022342462,0.2575417604400307
6313936,"0101000020407100002EFD5FE862A40341DDA680E857AD1741",2800,0.16592592592592592,10225,0.605925925925926,3850,0.22814814814814816,16875,0.8544907731551674,0.7960787760810015,0.8696177921368625,0.05841199707416589,0.015127018981695106
6322501,"010100002040710000A38A2375FD490341882DBBB7B4711741",680,0.13385826771653545,3720,0.7322834645669292,680,0.13385826771653545,5080,0.697736019714335,0.7305949172757913,0.7350952243670473,0.032858897561456324,0.03735920465271236
6322535,"0101000020407100009A117611CA65034144C9491936851741",0,0.0,0,0.0,40,1.0,40,-0.0,0.7305949172757913,0,0.7305949172757913,0
7502256,"01010000204071000031045FC0E8BF034180F0A79E61B51741",2325,0.17190388170055454,9100,0.6728280961182994,2100,0.15526802218114602,13525,0.7814520830985668,0.7960787760810015,0.6826498074174745,0.014626692982434686,0.09880227568109234
8338088,"01010000204071000037C1D270E98803410B63B2EE20741741",1140,0.05828220858895705,17730,0.906441717791411,690,0.0352760736196319,19560,0.3392332419798672,0.5741710679475016,0.15890105874193716,0.2349378259676344,0.18033218323793004
11951835,"010100002040710000995335C39F8A0341613E3F245B5B1741",735,0.15705128205128205,3300,0.7051282051282052,645,0.13782051282051283,4680,0.7374925523592315,0.7163942090515982,0.7905588151745216,0.02109834330763327,0.053066262815290144
12572778,"0101000020407100009255F15130B20341C82FF327F5651741",925,0.03616813294232649,22500,0.8797653958944281,2150,0.08406647116324535,25575,0.4013443421974245,0.3960545012244183,0.3826247880795669,0.005289840973006166,0.018719554117857584
31553333,"01010000204071000016F15A9D74D70341C170975C8D591741",4520,0.11414141414141414,27960,0.706060606060606,7120,0.1797979797979798,39600,0.7300024166290495,0.6730515185370932,0.5811082017701906,0.056950898091956303,0.1488942148588589
34043800,"010100002040710000F0349E41DEB00341B49282AF3C661741",1275,0.03766617429837518,29925,0.8840472673559823,2650,0.07828655834564253,33850,0.3931203619500793,0.3960545012244183,0.3826247880795669,0.0029341392743389982,0.01049557387051242
34044459,"010100002040710000AA3B70F714900341C5C7E669414A1741",5040,0.1180327868852459,31815,0.7450819672131147,5845,0.13688524590163934,42700,0.6769193333350259,0.7293933496540047,0.6918994515358089,0.052474016318978856,0.014980118200783044
34044465,"0101000020407100007AB2CCBA8EA40341BF8420885E7B1741",2675,0.07991038088125467,23700,0.7079910380881255,7100,0.21209858103061988,33475,0.7057174237585512,0.5941826886616389,0.6251129987778875,0.11153473509691225,0.08060442498066367
34044470,"0101000020407100003F6773D2DF760341D23CC17F8A5E1741",160,0.11428571428571428,1120,0.8,120,0.08571428571428572,1400,0.5798078640195465,0.7305949172757913,0.5462947022805016,0.15078705325624475,0.03351316173904495
