"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index"
"POINT(161450.70277931416 383192.26547360845)",3446864542,"010100002040710000D5C24A9F55B503414950D80F61631741",25,0.01724137931034482759,1335,0.92068965517241379310,90,0.06206896551724137931,1450,0.29000910612799663
"POINT(161316.93900667553 383213.6572113968)",2765367537,"01010000204071000091EE158327B103413F06FCA0B6631741",10,0.01212121212121212121,790,0.95757575757575757576,25,0.03030303030303030303,825,0.18291673239520817
"POINT(161336.57223563627 383065.6509313904)",2765280413,"010100002040710000FB46F093C4B1034127C28D9A66611741",45,0.02631578947368421053,1540,0.90058479532163742690,125,0.07309941520467836257,1710,0.34702903012769615
"POINT(163262.90424542082 386198.8196879734)",5062721885,"010100002040710000F005E53BF7ED0341BB485C475B921741",0,0E-20,110,0.70967741935483870968,45,0.29032258064516129032,155,0.5483647595556245
"POINT(158747.99755614751 381344.1614526826)",97839550,"010100002040710000ACB7FEFADF6003411EDA53A580461741",155,0.16489361702127659574,560,0.59574468085106382979,225,0.23936170212765957447,940,0.8629155021324044
"POINT(161443.03109725393 383554.5229932651)",2765160892,"010100002040710000C5EAAF3F18B50341E78B8B170A691741",40,0.03703703703703703704,970,0.89814814814814814815,70,0.06481481481481481481,1080,0.3603591512653119
"POINT(159143.97259372793 381792.08022473694)",6284084384,"0101000020407100006E38DFC73F6D0341F66E2652804D1741",50,0.13888888888888888889,240,0.66666666666666666667,70,0.19444444444444444444,360,0.785456282007789
"POINT(163201.45017738684 388531.48641220323)",5062916292,"0101000020407100000F9AF6990BEC0341650A16F2CDB61741",90,0.18367346938775510204,305,0.62244897959183673469,95,0.19387755102040816327,490,0.8414369830168676
"POINT(163854.60257933263 383787.3623928301)",269421682,"010100002040710000F71C15D274000441261B1773AD6C1741",15,0.10344827586206896552,95,0.65517241379310344828,35,0.24137931034482758621,145,0.7780985600482113
"POINT(160301.22840254608 384252.87877533113)",5714555889,"010100002040710000CEB6C4D3699103412FAEDD83F3731741",125,0.09689922480620155039,1055,0.81782945736434108527,110,0.08527131782945736434,1290,0.5466610216204929
"POINT(159551.2409714166 386132.1942804348)",4813743859,"0101000020407100000D6C82EDF97903414773F1C650911741",165,0.17010309278350515464,695,0.71649484536082474227,110,0.11340206185567010309,970,0.7163907521200079
