"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index"
"POINT(84107.36610807553 455294.15702386707)",1216287,"010100002040710000332494DBB588F44057DDCAA0F8C91B41",30,0.15000000000000000000,145,0.72500000000000000000,25,0.12500000000000000000,200,0.7078441830266095
"POINT(87861.62517959459 452280.2254677254)",2307803,"0101000020407100008E51BC005A73F540EC02E1E6E09A1B41",25,0.22727272727272727273,75,0.68181818181818181818,10,0.09090909090909090909,110,0.7426185503291656
"POINT(87828.357923751 452474.90523509006)",2307817,"01010000204071000050410EBA4571F5408CF2F59EEB9D1B41",50,0.33333333333333333333,100,0.66666666666666666667,0,0E-20,150,0.5793801642856949
"POINT(87064.4417732333 452713.55572212447)",2309839,"01010000204071000054CF80118741F54079380F39A6A11B41",65,0.28888888888888888889,160,0.71111111111111111111,0,0E-20,225,0.5471937801717162
"POINT(86984.43951296757 453179.6076684733)",2310099,"010100002040710000DEBF3E08873CF540EFA4406EEEA81B41",385,0.30555555555555555556,855,0.67857142857142857143,20,0.01587301587301587302,1260,0.6291250867776308
"POINT(79784.16953540857 454224.54708355886)",2824883,"010100002040710000B5C26AB6827AF34026AC363042B91B41",825,0.17386722866174920969,3425,0.72181243414120126449,495,0.10432033719704952582,4745,0.7056830330055356
"POINT(79641.93074988302 454669.5824058659)",2832958,"01010000204071000045FD59E49E71F3400C34625436C01B41",0,0E-20,25,1.00000000000000000000,0,0E-20,25,-0
"POINT(82356.77297319216 455327.4751049428)",3556651,"0101000020407100005023195E4C1BF440FEE881E67DCA1B41",40,0.18181818181818181818,175,0.79545454545454545455,5,0.02272727272727272727,220,0.5261106064349573
"POINT(81565.89947182528 455382.1718426919)",3576907,"01010000204071000094913C64DEE9F340D787F7AF58CB1B41",15,0.03157894736842105263,425,0.89473684210526315789,35,0.07368421052631578947,475,0.36482139076459863
"POINT(79306.65321737622 453733.60362419806)",3589372,"01010000204071000041109473AA5CF34037761C6A96B11B41",810,0.18388195232690124858,3315,0.75255391600454029512,280,0.06356413166855845630,4405,0.6376216989751952
"POINT(78847.064400131 451010.43460618204)",3592370,"010100002040710000886EC807F13FF3402A6709BD09871B41",135,0.20454545454545454545,450,0.68181818181818181818,75,0.11363636363636363636,660,0.7581095314172535
"POINT(78608.53485564762 453521.34583225235)",4475251,"010100002040710000AACBC48E0831F34097D9216245AE1B41",480,0.15946843853820598007,2150,0.71428571428571428571,380,0.12624584717607973422,3010,0.7230719389941419
"POINT(78542.83672735454 453652.8711464925)",4475253,"010100002040710000F7383C63ED2CF3407DD30D7C53B01B41",540,0.16438356164383561644,2400,0.73059360730593607306,345,0.10502283105022831050,3285,0.6943414948916402
"POINT(78607.08697186876 453683.70475436223)",4475256,"010100002040710000409D3C64F130F340A620ABD1CEB01B41",445,0.17115384615384615385,1875,0.72115384615384615385,280,0.10769230769230769231,2600,0.7080355177043508
"POINT(77734.42307193989 452365.6586622799)",6315497,"0101000020407100001B15E7C466FAF2405D5D78A2369C1B41",10,0.40000000000000000000,15,0.60000000000000000000,0,0E-20,25,0.6126016192893441
"POINT(81728.95841997015 456438.9705410536)",6315611,"010100002040710000BA2DB0550FF4F3409383D5E1DBDB1B41",255,0.20400000000000000000,765,0.61200000000000000000,230,0.18400000000000000000,1250,0.852230103010587
"POINT(84188.72976980437 457313.95716949104)",6315630,"010100002040710000361A23ADCB8DF440333D24D487E91B41",10,0.40000000000000000000,15,0.60000000000000000000,0,0E-20,25,0.6126016192893441
"POINT(83220.42312707694 457320.6066673612)",6315634,"010100002040710000D8E520C54651F44070353A6DA2E91B41",0,0,0,0,0,0,0,0
"POINT(79905.15527610747 457393.61318583554)",6315643,"010100002040710000B7CC027C1282F340D8FCE673C6EA1B41",0,0E-20,15,0.60000000000000000000,10,0.40000000000000000000,25,0.6126016192893441
"POINT(80395.41122002459 458060.6556003783)",6315659,"010100002040710000D1725B94B6A0F340A0B4559F32F51B41",30,0.18181818181818181818,80,0.48484848484848484848,55,0.33333333333333333333,165,0.934951536368758
"POINT(87221.99447067095 453055.57723530044)",7238727,"01010000204071000009145AE95F4BF54046C5164FFEA61B41",165,0.26190476190476190476,400,0.63492063492063492063,65,0.10317460317460317460,630,0.7952333779019002
"POINT(81399.78429030253 454727.1732578476)",7793693,"010100002040710000FFFC738C7CDFF34055816AB11CC11B41",205,0.07592592592592592593,2215,0.82037037037037037037,280,0.10370370370370370370,2700,0.5399400496889224
"POINT(81120.38594653536 455024.8199791864)",7793695,"0101000020407100003646D62C06CEF340B49FA847C3C51B41",50,0.04464285714285714286,990,0.88392857142857142857,80,0.07142857142857142857,1120,0.3971917168840887
"POINT(80255.88738703197 449621.8013134977)",10169230,"01010000204071000093BEBC32FE97F3408A868B3457711B41",20,0.19047619047619047619,70,0.66666666666666666667,15,0.14285714285714285714,105,0.7865834126456138
"POINT(80588.00657298854 451226.1477392484)",24525853,"0101000020407100002D47EC1AC0ACF34021F54897688A1B41",15,0.18750000000000000000,55,0.68750000000000000000,10,0.12500000000000000000,80,0.7567751872715526
"POINT(79886.01954565757 450769.27880885376)",25513742,"010100002040710000811B0F50E080F3407311801D45831B41",50,0.17241379310344827586,215,0.74137931034482758621,25,0.08620689655172413793,290,0.6701408612013665
"POINT(76543.55846056658 449989.6201063776)",26521599,"010100002040710000D95874EFF8AFF2408F2AFD7A16771B41",0,0,0,0,0,0,0,0
"POINT(79980.83343161106 455024.8628425624)",27298196,"0101000020407100008F62BC55CD86F3402C008D73C3C51B41",700,0.16686531585220500596,3075,0.73301549463647199046,420,0.10011918951132300358,4195,0.6889269133602166
"POINT(83791.51331264645 452784.64225050673)",30829683,"01010000204071000052528736F874F440E91DAA91C2A21B41",0,0E-20,25,0.41666666666666666667,35,0.58333333333333333333,60,0.6182283531662822
"POINT(83972.47979035022 452549.91059945925)",30829770,"01010000204071000072A538AD4780F440452F74A4179F1B41",10,0.07407407407407407407,50,0.37037037037037037037,75,0.55555555555555555556,135,0.8075742570071974
"POINT(79067.56062219346 451593.057656496)",32646448,"01010000204071000025FA4EF8B84DF340F34D0A3B24901B41",250,0.16233766233766233766,1085,0.70454545454545454545,205,0.13311688311688311688,1540,0.7375757184874862
"POINT(82129.40881830796 455368.6343871998)",34032798,"010100002040710000EB10858A160DF44051CC9C8922CB1B41",105,0.19090909090909090909,420,0.76363636363636363636,25,0.04545454545454545455,550,0.6030919777922151
"POINT(78010.95651477587 450184.16768795217)",34044390,"0101000020407100000870E24DAF0BF340FA63B6AB207A1B41",690,0.21698113207547169811,2100,0.66037735849056603774,390,0.12264150943396226415,3180,0.7854606143581062
"POINT(77743.60987119621 451114.4309971061)",34044395,"010100002040710000A84C08C2F9FAF2402D4E57B9A9881B41",410,0.23098591549295774648,1270,0.71549295774647887324,95,0.05352112676056338028,1775,0.6687658174055499
"POINT(80874.95696589148 454938.01211133524)",34044402,"0101000020407100007577BB4FAFBEF340F3E9660C68C41B41",230,0.06804733727810650888,2770,0.81952662721893491124,380,0.11242603550295857988,3380,0.5385816089414429
"POINT(80027.27960633977 455404.99197010556)",34044404,"010100002040710000517F4479B489F340E802C7F7B3CB1B41",600,0.12282497441146366428,3770,0.77175025588536335722,515,0.10542476970317297851,4885,0.6323428354427864
"POINT(82693.84441148736 455599.7519133761)",34044413,"010100002040710000A99EB5825D30F4407F94F501BFCE1B41",200,0.12422360248447204969,1220,0.75776397515527950311,190,0.11801242236024844720,1610,0.6567096120408351
