"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index","wijk_age_entropy_index","buurt_age_entropy_index","abs_wijk_diff","abs_buurt_diff"
"POINT(5.116233501652591 52.109755426488256)",23996958,"0101000020407100004CA0287EACA700410F6DF11FF6F31B41",4100,0.16977225672877846791,17550,0.72670807453416149068,2500,0.10351966873706004141,24150,0.6989053307244021,0.7789330273197645,0.711534471260347,0.08002769659536246,0.012629140535944883
"POINT(5.115956159199403 52.10889136611582)",23996959,"0101000020407100008A81FCA011A70041750DE2DE75F21B41",4100,0.16977225672877846791,17550,0.72670807453416149068,2500,0.10351966873706004141,24150,0.6989053307244021,0.7789330273197645,0.711534471260347,0.08002769659536246,0.012629140535944883
"POINT(5.100598016874891 52.088659981304765)",24281424,"010100002040710000EF5CC9B6E9850041D896105D5ACF1B41",5115,0.12093628088426527958,33770,0.79843953185955786736,3410,0.08062418725617685306,42295,0.5809243626590859,0.6516983727453005,0.641474781786024,0.07077401008621464,0.06055041912693815
"POINT(5.094585582207851 52.08959910924371)",24724883,"0101000020407100006717FF8B0C790041F06F47E102D11B41",13585,0.11756306520704426464,92345,0.79914326511185149929,9625,0.08329366968110423608,115555,0.5806172916348579,0.6516983727453005,0.5643310546377929,0.07108108111044265,0.016286236997064996
"POINT(5.119186901444069 52.0922123039716)",26622414,"0101000020407100001A8E336AC5AD00416C5812D073D51B41",5335,0.04276895943562610229,109340,0.87654320987654320988,10065,0.08068783068783068783,124740,0.412712988168855,0.4575647146001562,0.2668138055415702,0.0448517264313012,0.1458991826272848
"POINT(5.104920901429959 52.09687810397457)",26622680,"01010000204071000055748652488F004160C3FC119FDD1B41",9425,0.08615567439096850862,92625,0.84670231729055258467,7345,0.06714200831847890671,109395,0.4855785232112101,0.6353627822465662,0.42290123311871675,0.14978425903535608,0.06267729009249334
"POINT(5.119061901443973 52.092868003972)",26780748,"0101000020407100002EDB020A83AD004100D09DBF97D61B41",6215,0.04659793814432989691,117040,0.87752577319587628866,10120,0.07587628865979381443,133375,0.4125066229648279,0.4575647146001562,0.2668138055415702,0.04505809163532831,0.14569281742325768
"POINT(5.120992901445777 52.08981730397007)",26780759,"010100002040710000D30F89BA9BB10041C2CC592248D11B41",4950,0.04085338175215615070,104885,0.86563776668179754880,11330,0.09350885156604630050,121165,0.43430169063340496,0.4575647146001562,0.2668138055415702,0.02326302396675123,0.16748788509183477
"POINT(5.12151860144627 52.08903620396961)",26780765,"010100002040710000E76B9169B9B20041899073FDEBCF1B41",4620,0.04142011834319526627,95865,0.85946745562130177515,11055,0.09911242603550295858,111540,0.4470542984609486,0.4575647146001562,0.2668138055415702,0.010510416139207612,0.18024049291937838
"POINT(5.123589101448041 52.081888303965194)",26781648,"010100002040710000D35A4E8A11B700412F6289DC7CC31B41",2585,0.05628742514970059880,36465,0.79401197604790419162,6875,0.14970059880239520958,45925,0.5729029529528382,0.4575647146001562,0.48504419045088903,0.11533823835268203,0.08785876250194918
"POINT(5.121890201446524 52.08620820396789)",26943470,"01010000204071000012D6A3F57BB30041F8AA770F01CB1B41",4235,0.04644149577804583836,75350,0.82629674306393244873,11605,0.12726176115802171291,91190,0.5120685895171893,0.4575647146001562,0.6469377313914519,0.05450387491703307,0.1348691418742627
"POINT(5.109157501434302 52.09899860397588)",27004643,"010100002040710000A761C9FD619800419E8A8A494AE11B41",15600,0.09554140127388535032,133380,0.81687898089171974522,14300,0.08757961783439490446,163280,0.5487375975396954,0.6353627822465662,0.42290123311871675,0.08662518470687075,0.12583636442097867
"POINT(5.115598501440768 52.099103403975896)",27129846,"0101000020407100000A0876092DA60041DFA4253F72E11B41",23540,0.11242448121880745994,169950,0.81166272655634357762,15895,0.07591279222484896244,209385,0.5559620997817545,0.6847401462819839,0.5418528033609943,0.1287780465002294,0.014109296420760198
"POINT(5.12343380144812 52.08729930396855)",27467409,"0101000020407100003BB236DECDB60041A9719918E5CC1B41",5280,0.04956117707795560145,88495,0.83066597831698502839,12760,0.11977284460505937016,106535,0.5071827852960507,0.4575647146001562,0.48504419045088903,0.04961807069589447,0.02213859484516162
"POINT(5.090208101414951 52.091229903971225)",28413655,"0101000020407100009A65D36BB26F0041172CA382DDD31B41",15180,0.13212063188128291048,91300,0.79463858305409286740,8415,0.07324078506462422212,114895,0.5839466237541237,0.6516983727453005,0.5256416293301518,0.06775174899117686,0.058304994423971856
"POINT(5.090811568872023 52.077963434735544)",28565587,"01010000204071000038B28C16CD700041CAFE23CFCCBC1B41",8155,0.19546979865771812081,30415,0.72902684563758389262,3150,0.07550335570469798658,41720,0.6777176299676846,0.6797254651134986,0.6447841279243715,0.002007835145814041,0.032933502043313134
