"osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index","wijk_age_entropy_index","buurt_age_entropy_index","abs_wijk_diff","abs_buurt_diff"
498359604,"01010000204071000008B0999B7281FF408BC8E4B799F71B41",0,0,0,0,0,0,0,0,0.8326848836378368,0,0.8326848836378368,0
2709755968,"010100002040710000E274ECB081AE0041FDBBE5A829DA1B41",25740,0.0832,258390,0.8352,25245,0.0816,309375,0.5113425701815096,0.4575647146001562,0.4276112154107942,0.05377785558135345,0.08373135477071542
4060719738,"010100002040710000CD89A3A4EEB2FF402E8FB18C19DB1B41",0,0.0,180,0.75,60,0.25,240,0.5118595071429148,0.8326848836378368,-0.0,0.32082537649492193,0.5118595071429148
5124173713,"010100002040710000DB8FEED90D94FF40D65044BA3CEE1B41",0,0,0,0,0,0,0,0,0.8326848836378368,0,0.8326848836378368,0
32512520,"010100002040710000AC0C6C9A22670041778424D816A61B41",0,0.0,75,1.0,0,0.0,75,-0.0,0.6884161193992822,-0.0,0.6884161193992822,0
759803369,"01010000204071000080641F7F0D590041E913704FD9041C41",0,0.0,100,0.5,100,0.5,200,0.6309297535714574,0.7789330273197645,0.7298466991620975,0.14800327374830713,0.09891694559064013
3042024334,"0101000020407100000FF2429E652D0141A8E33595FACE1B41",0,0.0,650,1.0,0,0.0,650,-0.0,0.583678057436428,0.011468635625467653,0.583678057436428,0.011468635625467653
4060719736,"010100002040710000B23FED71EFB2FF406765EA9005DB1B41",0,0.0,180,0.75,60,0.25,240,0.5118595071429148,0.8326848836378368,-0.0,0.32082537649492193,0.5118595071429148
5645761343,"0101000020407100001C80A925ECDBFF4056662F4405CD1B41",0,0,0,0,0,0,0,0,0.8326848836378368,0.4554859150035952,0.8326848836378368,0.4554859150035952
6294417527,"010100002040710000FBD6CEDC2DD900417814F2BC00FE1B41",150,0.1875,550,0.6875,100,0.125,800,0.7567751872715526,0.7789330273197645,0.8620485698650453,0.022157840048211974,0.10527338259349273
7711131086,"010100002040710000136C21D0B1D80041F79E3A02DAFD1B41",150,0.1875,550,0.6875,100,0.125,800,0.7567751872715526,0.7789330273197645,0.8620485698650453,0.022157840048211974,0.10527338259349273
7730509187,"0101000020407100008E32E58171390141A09EBB43D4C11B41",0,0.0,9295,1.0,0,0.0,9295,-0.0,0.583678057436428,0.011468635625467653,0.583678057436428,0.011468635625467653
