"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index"
"POINT(122947.90890224007 483465.39048405294)",1043467,"0101000020407100004613DD8A3E04FE40340DDB8F25821D41",345,0.08263473053892215569,3580,0.85748502994011976048,250,0.05988023952095808383,4175,0.46100182078320906
"POINT(118452.96103249225 481856.03883881116)",1159452,"0101000020407100004A9B63604FEBFC407F5CC52700691D41",45,0.16071428571428571429,205,0.73214285714285714286,30,0.10714285714285714286,280,0.6930441504428139
"POINT(119988.34439681022 483394.9112896306)",2422947,"010100002040710000CC3AA682454BFD40E21B29A50B811D41",710,0.10000000000000000000,5310,0.74788732394366197183,1080,0.15211267605633802817,7100,0.6680887359873632
"POINT(120227.8292309829 487960.9387381747)",2922334,"01010000204071000006B587443D5AFD407F9444C163C81D41",4080,0.09408509166378415773,33535,0.77331949729044160037,5750,0.13259541104577424190,43365,0.6272184973768559
"POINT(120256.23825184615 488063.50014112017)",2924345,"010100002040710000F72AE1CF035CFD406AFE2400FEC91D41",4245,0.09387439186200796108,34895,0.77167182662538699690,6080,0.13445378151260504202,45220,0.6297837689507849
"POINT(121490.43032023555 486778.0433097444)",3583193,"010100002040710000A87897E226A9FD40BF63592CE8B51D41",1630,0.06583198707592891761,19680,0.79483037156704361874,3450,0.13933764135702746365,24760,0.5791253595241578
"POINT(122486.3515928221 486405.9257619321)",3604194,"01010000204071000087CB1FA065E7FD4099EFFAB317B01D41",1150,0.08566108007448789572,10220,0.76126629422718808194,2055,0.15307262569832402235,13425,0.6421239434239127
"POINT(119870.669591947 487000.898500217)",3674345,"010100002040710000A00BA6B6EA43FD40DE70109863B91D41",3870,0.09765329295987887964,30710,0.77491799142064092859,5050,0.12742871561948019177,39630,0.6256119451404645
"POINT(118821.55703636252 483765.6807837972)",3683363,"010100002040710000FBF59EE95802FD4042631FB9D6861D41",625,0.17580872011251758087,2530,0.71167369901547116737,400,0.11251758087201125176,3555,0.722270595180502
"POINT(120312.95062893788 482865.22286653373)",3686810,"0101000020407100006DB0C6358F5FFD40E71F37E4C4781D41",1230,0.10190555095277547639,8130,0.67357083678541839271,2710,0.22452361226180613090,12070,0.7593942987588862
"POINT(123201.34248324475 485912.4637143166)",4366722,"010100002040710000FAB5CF7A1514FE4002EDD7DA61A81D41",3525,0.11429961089494163424,23835,0.77285992217898832685,3480,0.11284046692607003891,30840,0.6310090746908358
"POINT(122412.88371705514 486766.46204265044)",4376560,"010100002040710000AC7EB423CEE2FD4064B521D9B9B51D41",1390,0.07288935500786575773,14405,0.75537493445201887782,3275,0.17173571054011536445,19070,0.6420472243291268
"POINT(121012.18887039459 485228.28621840803)",4734243,"0101000020407100007FF69C05438BFD4038701625B19D1D41",3205,0.10012496094970321774,24595,0.76835363948766010622,4210,0.13152139956263667604,32010,0.6368841937351652
"POINT(119219.8487942596 484102.8888255231)",4754219,"010100002040710000204AA9943D1BFD402647288E1B8C1D41",2560,0.14948905109489051095,11920,0.69605839416058394161,2645,0.15445255474452554745,17125,0.7507679120822426
"POINT(118475.28513735725 485396.14058821806)",4842719,"0101000020407100008430EC8FB4ECFC409B5BF68F50A01D41",2285,0.12255296326092786270,14530,0.77929739876642531510,1830,0.09814963797264682220,18645,0.6184376982044388
"POINT(118795.6050656511 486898.2050584499)",4847788,"010100002040710000F75159AEB900FD40A0D7FAD1C8B71D41",4360,0.12188985183114341627,28120,0.78613363153480570310,3290,0.09197651663405088063,35770,0.6054697290583714
"POINT(118674.09833365887 487011.3937919847)",4847791,"0101000020407100008F50C69221F9FC40BF343E938DB91D41",4995,0.12624794641728800708,31170,0.78781751548085429041,3400,0.08593453810185770251,39565,0.6008076232056729
"POINT(118778.18079126869 486046.1221201984)",4847801,"010100002040710000A76285E4A2FFFC40C9130D7D78AA1D41",3190,0.12366737739872068230,20015,0.77592556697034308975,2590,0.10040705563093622795,25795,0.6245367752516087
"POINT(122314.22690555667 483587.7243510875)",6182678,"01010000204071000093B867A1A3DCFD409F4ABCE50E841D41",1135,0.10652275926794931957,7830,0.73486625997184420460,1690,0.15861098076020647583,10655,0.6890375198535835
"POINT(121564.8877611757 485280.0756890002)",6316270,"01010000204071000005104534CEADFD40D26A814D809E1D41",3985,0.09640740292730131850,32310,0.78166202975686464255,5040,0.12193056731583403895,41335,0.6140851189038461
"POINT(117115.26549820634 487926.41720303753)",6316354,"010100002040710000160C7B3FB497FC40E84537ABD9C71D41",3205,0.16495110653628409676,14325,0.73726196603190941843,1900,0.09778692743180648482,19430,0.6820757722010901
"POINT(128276.11908305656 492312.7027509021)",6316518,"01010000204071000097A2C3E74151FF40B7EE9DCF620C1E41",5,0.20000000000000000000,20,0.80000000000000000000,0,0E-20,25,0.4554859150035952
"POINT(121467.76282852048 485453.25541164284)",7112728,"010100002040710000BFAD8B34BCA7FD4034A18A0535A11D41",3395,0.09463414634146341463,28255,0.78759581881533101045,4225,0.11777003484320557491,35875,0.6035700644753635
"POINT(124249.8351492546 487231.99812902894)",7259649,"010100002040710000FD76C55C9D55FE40428915FEFFBC1D41",2255,0.14501607717041800643,11895,0.76495176848874598071,1400,0.09003215434083601286,15550,0.6387481309312376
"POINT(112238.44178559307 486163.6839173709)",7348067,"01010000204071000021C58D11E766FB40D5D554BC4EAC1D41",0,0E-20,25,1.00000000000000000000,0,0E-20,25,-0
"POINT(119774.9737298765 482474.5647878515)",7350368,"0101000020407100006BC76594EF3DFD401DBF5742AA721D41",1430,0.12638091029606716748,7200,0.63632346442775077331,2685,0.23729562527618205921,11315,0.8104767013430564
"POINT(121844.82924534415 487298.0062177403)",7884942,"01010000204071000018C496444DBFFD407DF15D0608BE1D41",1035,0.05707196029776674938,14660,0.80838158257513096223,2440,0.13454645712710228839,18135,0.5509327643553811
"POINT(121129.00609391321 486886.4912042313)",7911414,"0101000020407100005FEEF5189092FD40F43DFEF699B71D41",1575,0.05815026767583533321,21630,0.79859700941480524275,3880,0.14325272290935942404,27085,0.5674302457337943
"POINT(121226.56260084952 485766.01518113253)",8483733,"01010000204071000096BF6900A998FD408FA48B0F18A61D41",3310,0.09120969964177459355,28865,0.79539818131716726371,4115,0.11339211904105814274,36290,0.5892255436748087
"POINT(121277.63871434209 485763.05318860937)",8483734,"010100002040710000AC872C38DA9BFD40271377360CA61D41",2760,0.08969775755606109847,24615,0.79996750081247968801,3395,0.11033474163145921352,30770,0.5807626646585347
"POINT(121280.4334402389 485781.34544772084)",8483735,"0101000020407100002E085FEF069CFD401E0CBD6155A61D41",2905,0.08896034297963558414,26150,0.80079620272546317562,3600,0.11024345429490124024,32655,0.5791261392887425
"POINT(120642.53866443461 486374.4564737114)",8522304,"01010000204071000023995E9E2874FD4038D86DD399AF1D41",2470,0.08549671166493596400,22350,0.77362409138110072690,4070,0.14087919695396330910,28890,0.6234483764233532
"POINT(119322.80142450494 487784.6118470976)",9194650,"0101000020407100006F80A2D2AC21FD40A90B8872A2C51D41",3765,0.12086677367576243981,24705,0.79309791332263242376,2680,0.08603531300160513644,31150,0.5919202232796534
"POINT(129079.01282535619 484717.39450976095)",9654329,"010100002040710000565C88347083FF40E55DFA93B5951D41",2270,0.29576547231270358306,5130,0.66840390879478827362,275,0.03583061889250814332,7675,0.6816339853924885
"POINT(122977.94063384135 485218.0649194329)",9675033,"0101000020407100002212D60C1F06FE40653D7A42889D1D41",3155,0.12435947970043358297,19690,0.77611351990540007883,2525,0.09952700039416633819,25370,0.6240503769349682
"POINT(122747.31336998392 485081.20840589737)",9930897,"010100002040710000883E9003B5F7FD40065B68D5649B1D41",2235,0.12819042156581588758,13485,0.77344422139374820763,1715,0.09836535704043590479,17435,0.6282003832302988
"POINT(121079.35988662987 485840.75771689205)",10212039,"010100002040710000997B18C2758FFD40DCEFE60743A71D41",2725,0.08760649413277608102,24810,0.79762096126024754863,3570,0.11477254460697637036,31105,0.5844941758687986
