"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index","wijk_age_entropy_index","buurt_age_entropy_index","abs_wijk_diff","abs_buurt_diff"
"POINT(4.769361597384002 52.37991244768106)",122665564,"010100002040710000B085B72C3E92FB4063219AE3E1CB1D41",0,0,0,0,0,0,0,0,0.7916269186659203,0.7896900821428475,0.7916269186659203,0.7896900821428475
"POINT(4.77283701431205 52.3557606245943)",265063293,"010100002040710000506052CC9B9FFB40737EBF1FDDA11D41",0,0,0,0,0,0,0,0,0.6377579502629859,0.4392610297141856,0.6377579502629859,0.4392610297141856
"POINT(4.938658401277334 52.40111400415853)",1268689639,"0101000020407100008C96A10C9963FE40FBBEE17D6AEF1D41",120,0.04000000000000000000,1380,0.46000000000000000000,1500,0.50000000000000000000,3000,0.7578031622544016,0.8104193098968981,0.8305998541263869,0.05261614764249656,0.07279669187198534
"POINT(4.946260901279835 52.292401804094105)",3884975522,"010100002040710000E8D2881B567FFE40FEF08A445F321D41",35,0.05263157894736842105,630,0.94736842105263157895,0,0E-20,665,0.18768409270499462,0.04417268576607082,0.17425991310347744,0.14351140693892378,0.013424179601517178
"POINT(4.838758401174954 52.346638904126664)",6142237185,"0101000020407100008E9E0011CFB7FC40913AC26871911D41",600,0.07812500000000000000,6930,0.90234375000000000000,150,0.01953125000000000000,7680,0.33566884715021056,0.540326449867528,0.5860923151515108,0.20465760271731742,0.2504234680013003
"POINT(4.991817901331359 52.42188590417045)",6450897314,"01010000204071000090245AEC7F46FF40346C1EEE32131E41",0,0E-20,150,1.00000000000000000000,0,0E-20,150,-0,0.8493237790059226,0.8562637304939607,0.8493237790059226,0.8562637304939607
"POINT(5.005193601339602 52.310491604104584)",7367015645,"010100002040710000533589B1487BFF40A21FB6DB76511D41",0,0E-20,10,1.00000000000000000000,0,0E-20,10,-0,0.8288163905765249,0.814255499619725,0.8288163905765249,0.814255499619725
"POINT(4.884131601223551 52.414612904166624)",9142766482,"01010000204071000052FD0329527CFD406DD80FB843071E41",3160,0.15800000000000000000,12620,0.63100000000000000000,4220,0.21100000000000000000,20000,0.8286573959959992,0.8006839747945769,0.8091188786625163,0.02797342120142232,0.019538517333482885
"POINT(4.927503041763684 52.33810561434824)",279859760,"0101000020407100006F36B5965E31FE4076EE1B74F3811D41",70,0.02941176470588235294,2310,0.97058823529411764706,0,0E-20,2380,0.12078093628530108,0.38422491769160355,0.26047109031109117,0.2634439814063025,0.1396901540257901
"POINT(4.838627001176892 52.389084004151755)",428078546,"0101000020407100005BE3C7C67BB9FC4085D5B9E03BDB1D41",0,0E-20,2555,1.00000000000000000000,0,0E-20,2555,-0,-0,-0,0,0
