"osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index","wijk_age_entropy_index","buurt_age_entropy_index","abs_wijk_diff","abs_buurt_diff"
8118187369,"010100002040710000B875B10DB58DFC40DD48D64A370D1E41",0,0,0,0,0,0,0,0,0.5780062388614641,0,0.5780062388614641,0
896508330,"010100002040710000D5B1F17913B1FB40E96C831630CA1D41",0,0,0,0,0,0,0,0,0.7916269186659203,0.7896900821428475,0.7916269186659203,0.7896900821428475
1766625236,"010100002040710000F84C792C706DFB409F3F983A52A61D41",30,0.15384615384615385,165,0.8461538461538461,0,0.0,195,0.39078665545522084,0.6377579502629859,0.4392610297141856,0.24697129480776503,0.04847437425896478
2725752657,"01010000204071000030CB45FD7FBFFD407E0122FFC3BB1D41",10620,0.059,144450,0.8025,24930,0.1385,180000,0.5619363832165905,0.6558929025367127,0.6808165329422802,0.09395651932012228,0.11888014972568972
2862973861,"010100002040710000DEF173F10E4BFE404DF4F37186511D41",0,0.0,70,1.0,0,0.0,70,-0.0,0.04417268576607082,0,0.04417268576607082,0
3884975522,"010100002040710000E8D2881B567FFE40FEF08A445F321D41",35,0.017543859649122806,1960,0.9824561403508771,0,0.0,1995,0.0803921302455947,0.04417268576607082,0.17425991310347744,0.03621944447952388,0.09386778285788273
3911430239,"01010000204071000060E28680C8D6FC40B2EA061F877F1D41",50,0.16666666666666666,250,0.8333333333333334,0,0.0,300,0.4101184863065181,0.7391497592176915,0.6062306954623471,0.32903127291117346,0.196112209155829
4851393512,"0101000020407100005BF16F4B4C81FE40FADC71276F3B1D41",35,0.05263157894736842,630,0.9473684210526315,0,0.0,665,0.18768409270499462,0.04417268576607082,0,0.14351140693892378,0.18768409270499462
6164558069,"010100002040710000BD2DE37E4974FB4005F149885CE21D41",0,0.0,105,1.0,0,0.0,105,-0.0,-0.0,-0.0,0,0
6439739986,"010100002040710000180E55FE3E1FFE402CC4C83D6D881D41",320,0.13333333333333333,1600,0.6666666666666666,480,0.2,2400,0.7835807040488098,0.707217067507348,0.8499913799330283,0.07636363654146172,0.06641067588421856
8342962171,"010100002040710000037A2DA11CDBFE405054CC8123231D41",0,0.0,70,1.0,0,0.0,70,-0.0,0.04417268576607082,0.17425991310347744,0.04417268576607082,0.17425991310347744
6316518,"01010000204071000097A2C3E74151FF40B7EE9DCF620C1E41",50,0.2,200,0.8,0,0.0,250,0.4554859150035952,0.8493237790059226,0.8562637304939607,0.3938378640023274,0.40077781549036545
34032833,"01010000204071000017FDA84F07ECFC40AFFDA897C6E01D41",0,0.0,120,1.0,0,0.0,120,-0.0,0.436992485824817,-0.0,0.436992485824817,0
2275676932,"01010000204071000052C182FB67D9FE4030F21BF690D01D41",1050,0.175,3900,0.65,1050,0.175,6000,0.810156741747039,0.8493237790059226,0.8866725815736987,0.0391670372588836,0.07651583982665966
2628741157,"010100002040710000B4E8C12C91EDFC40CB14B5FD0DE41D41",0,0.0,120,1.0,0,0.0,120,-0.0,0.436992485824817,-0.0,0.436992485824817,0
2862196855,"010100002040710000FB926C060094FF4003635AFD1B481D41",0,0.0,120,0.6153846153846154,75,0.38461538461538464,195,0.6064727741416684,0.774041001776689,0.5118595071429148,0.16756822763502055,0.09461326699875361
3439980443,"01010000204071000009E10502136DFC400017906A8E731D41",0,0.0,30,1.0,0,0.0,30,-0.0,0.7837959678861102,0.7559279292634754,0.7837959678861102,0.7559279292634754
4147860289,"010100002040710000297605890C19FD404BC0F0740E111E41",0,0.0,30,1.0,0,0.0,30,-0.0,0.7683222281964345,0.3175206571427801,0.7683222281964345,0.3175206571427801
5243983317,"0101000020407100004CD0125A0948FE40C650C87139481D41",0,0.0,70,1.0,0,0.0,70,-0.0,0.04417268576607082,0,0.04417268576607082,0
6278787894,"010100002040710000E0DE782D64BDFC4008C73118737F1D41",0,0.0,150,1.0,0,0.0,150,-0.0,0.7391497592176915,0.6062306954623471,0.7391497592176915,0.6062306954623471
1043467,"0101000020407100004613DD8A3E04FE40340DDB8F25821D41",2415,0.08263473053892216,25060,0.8574850299401198,1750,0.059880239520958084,29225,0.46100182078320906,0.38422491769160355,0.3593530494278009,0.07677690309160551,0.10164877135540817
2422947,"010100002040710000CC3AA682454BFD40E21B29A50B811D41",3550,0.1,26550,0.747887323943662,5400,0.15211267605633802,35500,0.6680887359873632,0.4536941336234853,0.5014892906224767,0.21439460236387786,0.16659944536488647
2922334,"01010000204071000006B587443D5AFD407F9444C163C81D41",12240,0.09408509166378416,100605,0.7733194972904416,17250,0.13259541104577424,130095,0.6272184973768559,0.5892604877111564,0.5998970183307399,0.03795800966569951,0.027321479046115926
2924345,"010100002040710000F72AE1CF035CFD406AFE2400FEC91D41",12735,0.09387439186200797,104685,0.771671826625387,18240,0.13445378151260504,135660,0.6297837689507849,0.5892604877111564,0.5998970183307399,0.04052328123962856,0.029886750620044977
3583193,"010100002040710000A87897E226A9FD40BF63592CE8B51D41",8150,0.06583198707592892,98400,0.7948303715670436,17250,0.13933764135702748,123800,0.5791253595241578,0.43681802471232223,0.4838608433272553,0.14230733481183555,0.09526451619690246
3604194,"01010000204071000087CB1FA065E7FD4099EFFAB317B01D41",4600,0.0856610800744879,40880,0.7612662942271881,8220,0.15307262569832403,53700,0.6421239434239127,0.6348719039250615,0.6387157304677642,0.007252039498851115,0.0034082129561484598
