"id","c28992r100","osm_id"
"E0955N4347_4799777272","E0955N4347",4799777272
"E0955N4347_4855504107","E0955N4347",4855504107
"E0955N4347_4855509156","E0955N4347",4855509156
"E0955N4347_7091800225","E0955N4347",7091800225
"E0955N4347_7091833824","E0955N4347",7091833824
"E0955N4356_576094607","E0955N4356",576094607
"E0955N4356_576253589","E0955N4356",576253589
"E0955N4356_8821490019","E0955N4356",8821490019
"E0955N4356_8821490020","E0955N4356",8821490020
"E0955N4356_8821490021","E0955N4356",8821490021
"E0955N4356_8821490022","E0955N4356",8821490022
"E0955N4356_8821490023","E0955N4356",8821490023
"E0955N4357_576091644","E0955N4357",576091644
"E0955N4357_576094607","E0955N4357",576094607
"E0955N4357_576253589","E0955N4357",576253589
"E0955N4357_576253592","E0955N4357",576253592
"E0955N4357_7024444157","E0955N4357",7024444157
"E0955N4357_7024444158","E0955N4357",7024444158
"E0955N4357_7024444159","E0955N4357",7024444159
"E0955N4357_7024444160","E0955N4357",7024444160
"E0955N4357_7024444161","E0955N4357",7024444161
"E0955N4359_576087979","E0955N4359",576087979
"E0955N4359_576087981","E0955N4359",576087981
"E0955N4359_576087982","E0955N4359",576087982
"E0955N4359_576091644","E0955N4359",576091644
"E0955N4359_576094607","E0955N4359",576094607
"E0955N4359_576253589","E0955N4359",576253589
"E0955N4359_576253592","E0955N4359",576253592
"E0955N4360_576087979","E0955N4360",576087979
"E0955N4360_576087981","E0955N4360",576087981
"E0955N4360_576087982","E0955N4360",576087982
"E0955N4360_576091644","E0955N4360",576091644
"E0955N4360_576094607","E0955N4360",576094607
"E0955N4360_576253589","E0955N4360",576253589
"E0955N4360_576253592","E0955N4360",576253592
"E0955N4361_576087979","E0955N4361",576087979
"E0955N4361_576087981","E0955N4361",576087981
"E0955N4361_576087982","E0955N4361",576087982
"E0955N4361_576091644","E0955N4361",576091644
"E0955N4361_576094607","E0955N4361",576094607
"E0955N4361_582196068","E0955N4361",582196068
"E0955N4361_576253592","E0955N4361",576253592
"E0955N4361_582555512","E0955N4361",582555512
"E0955N4362_576087979","E0955N4362",576087979
"E0955N4362_576087981","E0955N4362",576087981
"E0955N4362_576087982","E0955N4362",576087982
"E0955N4362_582196068","E0955N4362",582196068
"E0955N4362_576253592","E0955N4362",576253592
"E0955N4362_582555512","E0955N4362",582555512
"E0955N4362_2801597512","E0955N4362",2801597512
"E0955N4364_576086977","E0955N4364",576086977
"E0955N4364_576087979","E0955N4364",576087979
"E0955N4364_576087981","E0955N4364",576087981
"E0955N4364_576087982","E0955N4364",576087982
"E0955N4364_290924768","E0955N4364",290924768
"E0955N4364_582196068","E0955N4364",582196068
"E0955N4364_582555512","E0955N4364",582555512
"E0955N4364_2801597512","E0955N4364",2801597512
"E0955N4365_576086977","E0955N4365",576086977
"E0955N4365_290924768","E0955N4365",290924768
"E0955N4365_582196068","E0955N4365",582196068
"E0955N4365_2801597512","E0955N4365",2801597512
"E0955N4366_576086977","E0955N4366",576086977
"E0955N4366_5526437680","E0955N4366",5526437680
"E0955N4372_8780927314","E0955N4372",8780927314
"E0955N4372_8780927315","E0955N4372",8780927315
"E0955N4372_8780927316","E0955N4372",8780927316
"E0955N4372_8780988217","E0955N4372",8780988217
"E0955N4372_8780988218","E0955N4372",8780988218
"E0955N4373_8780927316","E0955N4373",8780927316
"E0955N4373_8780988217","E0955N4373",8780988217
"E0955N4374","E0955N4374",NULL
"E0955N4375","E0955N4375",NULL
"E0955N4407","E0955N4407",NULL
"E0955N4408_2596519861","E0955N4408",2596519861
"E0956N4316_1146360","E0956N4316",1146360
"E0956N4317","E0956N4317",NULL
"E0956N4318","E0956N4318",NULL
"E0956N4319_54090116","E0956N4319",54090116
"E0956N4319_89068452","E0956N4319",89068452
"E0956N4319_131952682","E0956N4319",131952682
"E0956N4319_820385515","E0956N4319",820385515
"E0956N4319_977501879","E0956N4319",977501879
"E0956N4319_9044905850","E0956N4319",9044905850
"E0956N4319_9044905852","E0956N4319",9044905852
"E0956N4319_9044905876","E0956N4319",9044905876
"E0956N4319_9044905878","E0956N4319",9044905878
"E0956N4320_54090116","E0956N4320",54090116
"E0956N4320_89068452","E0956N4320",89068452
"E0956N4320_131952682","E0956N4320",131952682
"E0956N4320_820385515","E0956N4320",820385515
"E0956N4320_820385534","E0956N4320",820385534
"E0956N4320_835822384","E0956N4320",835822384
"E0956N4320_835822402","E0956N4320",835822402
"E0956N4320_835822417","E0956N4320",835822417
"E0956N4320_919677998","E0956N4320",919677998
"E0956N4320_919678026","E0956N4320",919678026
"E0956N4320_919678034","E0956N4320",919678034
"E0956N4320_977501879","E0956N4320",977501879
"E0956N4320_4152147277","E0956N4320",4152147277
"E0956N4320_7660458188","E0956N4320",7660458188
"E0956N4320_9044905850","E0956N4320",9044905850
"E0956N4320_9044905852","E0956N4320",9044905852
"E0956N4320_9044905876","E0956N4320",9044905876
"E0956N4320_9044905878","E0956N4320",9044905878
