"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index","wijk_age_entropy_index","buurt_age_entropy_index","abs_wijk_diff","abs_buurt_diff"
"POINT(93168.95218742915 437489.96997593157)",1949320123,"010100002040710000BEE2283C0FBFF640E05E41E1C7B31A41",2040,0.08500000000000000000,20490,0.85375000000000000000,1470,0.06125000000000000000,24000,0.46930532129326846,0.5971411262543447,0.5515260471833874,0.12783580496107622,0.08222072589011892
"POINT(92752.09812736663 437205.2349039663)",2610267993,"0101000020407100006800EE9101A5F64054AA8AF054AF1A41",330,0.05500000000000000000,5130,0.85500000000000000000,540,0.09000000000000000000,6000,0.4643834160477169,0.5971411262543447,0.5515260471833874,0.1327577102066278,0.0871426311356705
"POINT(95843.69342759647 436854.2747276163)",2802228766,"010100002040710000108947183B66F7403D325219D9A91A41",0,0E-20,4480,1.00000000000000000000,0,0E-20,4480,-0,0.6985128187744609,0.7147072584791313,0.6985128187744609,0.7147072584791313
"POINT(93344.4183123789 433692.96909399494)",3122506703,"0101000020407100002E5268B106CAF6401C2D5AE073781A41",400,0.16000000000000000000,1650,0.66000000000000000000,450,0.18000000000000000000,2500,0.797476009787881,0.7286446509088582,0.6928109619277749,0.06883135887902281,0.10466504786010611
"POINT(92414.57291882616 437507.178683118)",3129239531,"0101000020407100005AEEAC2AE98FF64011B5F8B60CB41A41",240,0.04000000000000000000,5010,0.83500000000000000000,750,0.12500000000000000000,6000,0.4908514122467061,0.5971411262543447,0.5792599201986935,0.10628971400763859,0.08840850795198746
"POINT(92520.11695979079 437403.80380201637)",4471887749,"010100002040710000C63A11DF8196F64033E017376FB21A41",0,0E-20,1890,0.90000000000000000000,210,0.10000000000000000000,2100,0.2959032742893846,0.5971411262543447,0.5792599201986935,0.30123785196496006,0.2833566459093089
"POINT(92938.14134613928 436390.00187973387)",4755283864,"0101000020407100005A2BF442A2B0F640CEC2EC0198A21A41",180,0.04800000000000000000,2850,0.76000000000000000000,720,0.19200000000000000000,3750,0.6109311871523221,0.5971411262543447,0.5515260471833874,0.013790060897977408,0.059405139968934706
"POINT(92909.63053734851 436393.74943517236)",4755288529,"010100002040710000AC54AE16DAAEF6400FEF6BFFA6A21A41",180,0.04800000000000000000,2850,0.76000000000000000000,720,0.19200000000000000000,3750,0.6109311871523221,0.5971411262543447,0.5515260471833874,0.013790060897977408,0.059405139968934706
"POINT(93079.13244363204 434593.0793348955)",4864172789,"010100002040710000C3367D1E72B9F640B62A3D5184861A41",0,0E-20,200,1.00000000000000000000,0,0E-20,200,-0,0.7286446509088582,0.628461771699066,0.7286446509088582,0.628461771699066
"POINT(92524.29768600532 437324.33978671517)",6856213458,"010100002040710000956652C3C496F640750CF15B31B11A41",0,0,0,0,0,0,0,0,0.5971411262543447,0.5792599201986935,0.5971411262543447,0.5792599201986935
