"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index"
"POINT(92410.04554989365 433343.9821899105)",3649354,"010100002040710000798692BAA08FF6402031C3EDFF721A41",590,0.17352941176470588235,2460,0.72352941176470588235,350,0.10294117647058823529,3400,0.7028065783623936
"POINT(91407.85994220815 432409.51294440124)",3650262,"010100002040710000C7C252C2FD50F640104C410D66641A41",915,0.20087815587266739846,2945,0.64654226125137211855,695,0.15257958287596048299,4555,0.8112496761537545
"POINT(95036.92157252712 432454.5914104334)",3653073,"0101000020407100008ED5C2BECE33F74058B29A5D1A651A41",525,0.13478818998716302953,2445,0.62772785622593068036,925,0.23748395378690629012,3895,0.8227133369231828
"POINT(97642.48931498558 432294.2095809631)",3653658,"01010000204071000048F33BD4A7D6F7405A649CD698621A41",310,0.17222222222222222222,1125,0.62500000000000000000,365,0.20277777777777777778,1800,0.8376450939430844
"POINT(92275.6787186793 437337.5602160719)",4624501,"0101000020407100002C1E08DC3A87F6402E48A93D66B11A41",410,0.07256637168141592920,4480,0.79292035398230088496,760,0.13451327433628318584,5650,0.5863664135368082
"POINT(92313.93060072562 437224.1132172459)",4624505,"0101000020407100002396BDE39E89F640C238EF73A0AF1A41",555,0.06985525487728130900,6270,0.78917558212712397734,1120,0.14096916299559471366,7945,0.590696973750651
"POINT(93511.75951827347 438734.4949262322)",4647769,"01010000204071000014A2FC267CD4F64035F1CDFA39C71A41",2390,0.18804091266719118804,8790,0.69158143194335169158,1530,0.12037765538945712038,12710,0.7501517926385549
"POINT(95275.13063151833 437193.94439942465)",5972753,"01010000204071000031131117B242F7408DA410C727AF1A41",380,0.10312075983717774763,2690,0.72998643147896879240,615,0.16689280868385345997,3685,0.6943568649336965
"POINT(92766.99816942669 432841.92019656254)",6314987,"010100002040710000388180F8EFA5F640F80148AE276B1A41",15,0.11538461538461538462,100,0.76923076923076923077,15,0.11538461538461538462,130,0.6373141746897563
"POINT(96674.54745544965 433804.69140284223)",6315019,"01010000204071000044A560C2289AF7404F1BFFC3327A1A41",75,0.17045454545454545455,315,0.71590909090909090909,50,0.11363636363636363636,440,0.7172431476445064
"POINT(89994.35676631024 437802.3478042134)",6315107,"0101000020407100002D9750B5A5F8F540A8C92664A9B81A41",95,0.16666666666666666667,390,0.68421052631578947368,85,0.14912280701754385965,570,0.7664722679327778
"POINT(88801.26267008531 437160.3438640196)",19830821,"010100002040710000218CE53314AEF540BAE31D60A1AE1A41",1105,0.15899280575539568345,4985,0.71726618705035971223,860,0.12374100719424460432,6950,0.7184423404292325
"POINT(91291.254728347 438750.1780556667)",20214959,"010100002040710000FC075E13B449F640853954B678C71A41",1030,0.08890807078118256366,9685,0.83599482088908070781,870,0.07509710832973672853,11585,0.5091419689471074
"POINT(91926.59736825661 437141.0426883217)",20215790,"0101000020407100005D04D28E6971F640C67CB62B54AE1A41",1215,0.11750483558994197292,7650,0.73984526112185686654,1475,0.14264990328820116054,10340,0.6847976762389977
