"osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index","wijk_age_entropy_index","buurt_age_entropy_index","abs_wijk_diff","abs_buurt_diff"
2610257018,"0101000020407100008C3D2B08CD78F64011F2FC5A88B21A41",16050,0.10896130346232179,113490,0.7704684317718941,17760,0.12057026476578411,147300,0.6349056713009845,0.5971411262543447,0.5792599201986935,0.03776454504663984,0.055645751102290975
2610257375,"0101000020407100004878692D4B99F640742168F164A11A41",3450,0.06651243493348756,41460,0.7993059572006941,6960,0.1341816078658184,51870,0.5723936859053613,0.5971411262543447,0.5515260471833874,0.02474744034898335,0.020867638721973947
2610258150,"0101000020407100007A5F1F3E8B7BF6404128FC5CE7AC1A41",12720,0.09835305033634888,100080,0.7738343771746694,16530,0.12781257248898167,129330,0.6275585216230012,0.5971411262543447,0.5792599201986935,0.030417395368656508,0.04829860142430764
2610258602,"010100002040710000C0E062D66488F640BE7DB2B383B41A41",13980,0.09883351007423118,110910,0.7840933191940616,16560,0.11707317073170732,141450,0.6103717408226405,0.5971411262543447,0.5792599201986935,0.013230614568295773,0.031111820623946906
2610259276,"01010000204071000086065D3DEFB0F640E6FCB53243B51A41",11850,0.08963013387792149,105300,0.7964601769911505,15060,0.11390968913092807,132210,0.5870152463515235,0.5971411262543447,0.5515260471833874,0.010125879902821211,0.03548919916813609
2610259286,"010100002040710000CEABDB6F3CA3F6407832F8B128B11A41",10110,0.0764519056261343,107400,0.8121597096188747,14730,0.11138838475499092,132240,0.5552543153207697,0.5971411262543447,0.5515260471833874,0.041886810933574936,0.0037282681373823623
2610259302,"010100002040710000FE95148CCD98F640C99D347255A11A41",3450,0.06651243493348756,41460,0.7993059572006941,6960,0.1341816078658184,51870,0.5723936859053613,0.5971411262543447,0.5515260471833874,0.02474744034898335,0.020867638721973947
2610259387,"010100002040710000F60C6A08A088F64046849EE744AD1A41",12960,0.09688270912760709,104580,0.7817896389324961,16230,0.12132765193989684,133770,0.6139684874131911,0.5971411262543447,0.5792599201986935,0.01682736115884642,0.034708567214497554
2610259530,"0101000020407100002CE83F14758BF640F59BA79D1AAC1A41",13350,0.09433962264150944,111420,0.7873648505405978,16740,0.11829552681789272,141510,0.6039094176243042,0.5971411262543447,0.5792599201986935,0.006768291369959489,0.024649497425610623
2610259629,"010100002040710000AEE2AFBED488F6409F8B31932EAD1A41",12960,0.09688270912760709,104580,0.7817896389324961,16230,0.12132765193989684,133770,0.6139684874131911,0.5971411262543447,0.5792599201986935,0.01682736115884642,0.034708567214497554
